URL,Lokasi,Harga,Luas Bangunan,Luas Tanah,Kamar Tidur,Kamar Mandi,Garasi,Jumlah Lantai
https://www.rumah123.com/properti/jakarta-utara/hos17482951/,"Pantai Indah Kapuk 2, Jakarta Utara",Rp 10 Miliar,374 m²,300 m²,4,5,2,2
https://www.rumah123.com/properti/jakarta-selatan/hos18072856/,"Jagakarsa, Jakarta Selatan",Rp 11 Miliar,300 m²,2083 m²,4,3,2,2
https://www.rumah123.com/properti/jakarta-barat/hos18154470/,"Srengseng, Jakarta Barat","Rp 3,8 Miliar",172 m²,257 m²,4,3,1,2
https://www.rumah123.com/properti/jakarta-barat/hos18464024/,"Kemanggisan, Jakarta Barat",Rp 5 Miliar,150 m²,180 m²,4,2,1,2
https://www.rumah123.com/properti/jakarta-barat/hos15298703/,"Joglo, Jakarta Barat","Rp 4,9 Miliar",260 m²,160 m²,4,4,1,2
https://www.rumah123.com/properti/jakarta-barat/hos39116659/,"Meruya, Jakarta Barat","Rp 1,7 Miliar",125 m²,71 m²,3,2,1,2
https://www.rumah123.com/properti/jakarta-utara/hos39116665/,"Pantai Indah Kapuk 2, Jakarta Utara","Rp 2,5 Miliar",107 m²,75 m²,3,3,2,2
https://www.rumah123.com/properti/jakarta-barat/hos18599608/,"Kemanggisan, Jakarta Barat","Rp 1,7 Miliar",96 m²,85 m²,4,2,1,-
https://www.rumah123.com/properti/jakarta-barat/hos19262406/,"Srengseng, Jakarta Barat","Rp 2,5 Miliar",150 m²,200 m²,3,3,-,1
https://www.rumah123.com/properti/jakarta-barat/hos18375692/,"Kebon Jeruk, Jakarta Barat","Rp 4,2 Miliar",300 m²,429 m²,-,-,-,3
https://www.rumah123.com/properti/jakarta-barat/hos38947658/,"Srengseng, Jakarta Barat","Rp 3,6 Miliar",120 m²,164 m²,2,1,-,1
https://www.rumah123.com/properti/jakarta-barat/hos17456811/,"Puri Indah, Jakarta Barat",Rp 9 Miliar,60 m²,336 m²,2,2,4,2
https://www.rumah123.com/properti/jakarta-selatan/hos18351550/,"Kemandoran, Jakarta Selatan","Rp 2,9 Miliar",160 m²,227 m²,4,2,2,-
https://www.rumah123.com/properti/jakarta-selatan/hos19154303/,"Tanjung Barat, Jakarta Selatan","Rp 1,65 Miliar",160 m²,200 m²,3,1,2,1
https://www.rumah123.com/properti/jakarta-barat/hos17802427/,"Kelapa Dua, Jakarta Barat",Rp 14 Miliar,540 m²,825 m²,8,6,4,2
https://www.rumah123.com/properti/jakarta-utara/hos18752887/,"Pantai Indah Kapuk 2, Jakarta Utara","Rp 9,6 Miliar",330 m²,250 m²,4,4,1,2
https://www.rumah123.com/properti/jakarta-utara/hos38917968/,"Pantai Indah Kapuk 2, Jakarta Utara","Rp 13,2 Miliar",335 m²,250 m²,4,5,1,2
https://www.rumah123.com/properti/jakarta-utara/hos10908703/,"Pantai Indah Kapuk 2, Jakarta Utara","Rp 5,45 Miliar",209 m²,150 m²,4,4,2,2
https://www.rumah123.com/properti/jakarta-utara/hos10272724/,"Pantai Indah Kapuk 2, Jakarta Utara","Rp 4,2 Miliar",170 m²,120 m²,3,3,2,2
https://www.rumah123.com/properti/jakarta-utara/hos17623951/,"Pantai Indah Kapuk, Jakarta Utara","Rp 6,7 Miliar",300 m²,184 m²,4,4,1,2
https://www.rumah123.com/properti/jakarta-utara/hos19493369/,"Pluit, Jakarta Utara","Rp 6,9 Miliar",455 m²,162 m²,6,6,2,4
https://www.rumah123.com/properti/jakarta-utara/hos39116663/,"Pantai Indah Kapuk 2, Jakarta Utara","Rp 2,5 Miliar",107 m²,75 m²,3,3,2,2
https://www.rumah123.com/properti/jakarta-utara/hos16249293/,"Pantai Indah Kapuk 2, Jakarta Utara","Rp 1,6 Miliar",87 m²,45 m²,3,2,1,3
https://www.rumah123.com/properti/jakarta-utara/hos17429471/,"Sunter, Jakarta Utara","Rp 2,45 Miliar",132 m²,128 m²,4,3,1,-
https://www.rumah123.com/properti/jakarta-barat/hos18848189/,"Green Ville, Jakarta Barat","Rp 2,3 Miliar",150 m²,88 m²,4,3,-,3
https://www.rumah123.com/properti/jakarta-utara/hos18131377/,"Sunter, Jakarta Utara","Rp 9,5 Miliar",380 m²,304 m²,6,6,3,3
https://www.rumah123.com/properti/jakarta-timur/hos39116651/,"Cibubur, Jakarta Timur",Rp 690 Juta,70 m²,73 m²,3,2,2,2
https://www.rumah123.com/properti/jakarta-barat/hos39116146/,"Green Ville, Jakarta Barat","Rp 2,5 Miliar",120 m²,68 m²,2,3,1,3
https://www.rumah123.com/properti/jakarta-utara/hos18166357/,"Sunter, Jakarta Utara",Rp 970 Juta,70 m²,88 m²,2,2,-,-
https://www.rumah123.com/properti/jakarta-selatan/hos19408139/,"Jagakarsa, Jakarta Selatan","Rp 2,53 Miliar",-,104 m²,3,3,1,2
https://www.rumah123.com/properti/jakarta-barat/hos39116644/,"Srengseng, Jakarta Barat","Rp 3,9 Miliar",250 m²,219 m²,5,3,2,2
https://www.rumah123.com/properti/jakarta-selatan/hos39006367/,"Cilandak, Jakarta Selatan",Rp 10 Miliar,400 m²,365 m²,4,4,1,3
https://www.rumah123.com/properti/jakarta-utara/hos19144476/,"Pantai Indah Kapuk, Jakarta Utara","Rp 18,5 Miliar",1050 m²,312 m²,6,6,3,4
